Step,Name,Mass,Density,Temperature,Pressure,Volume,Crystallized_frac,y_bottom,y_top
36,Total solids,2.19,1.3,850,3,1.68461538461538,0.262589928057554,0,0
36,System,104.69,2.65,850,3,39.5056603773585,0.262589928057554,0,0
36,clinopyroxene,33.46,3.29,850,3,10.1702127659574,0.262589928057554,58.4137298560667,84.1716162400362
36,spinel,2.42,4.76537190082645,850,3,0.507830249215241,0.262589928057554,84.1716162400362,85.4577873519537
36,feldspar,11.23,2.68773820124666,850,3,4.17823432162819,0.262589928057554,85.4577873519537,96.0399145324531
36,orthopyroxene,1.5,3.49666666666667,850,3,0.428979980934223,0.262589928057554,96.0399145324531,97.1263832095773
36,water,0.59,0.52,850,3,1.13461538461538,0.262589928057554,97.1263832095773,100
37,Liquid,40.19,2.21,840,3,18.1855203619909,0.264988009592326,0,46.0818290349516
37,olivine,13.68,3.3,840,3,4.14545454545455,0.264988009592326,46.0818290349516,56.5863471258975
37,Total solids,2.21,1.19,840,3,1.85714285714286,0.264988009592326,0,0
37,System,104.69,2.65,840,3,39.5056603773585,0.264988009592326,0,0
37,clinopyroxene,33.46,3.29,840,3,10.1702127659574,0.264988009592326,56.5863471258975,82.3575099302058
37,spinel,2.53,4.77434782608696,840,3,0.529915308259721,0.264988009592326,82.3575099302058,83.7003071750549
37,feldspar,12.44,2.68708199356913,840,3,4.62955727803323,0.264988009592326,83.7003071750549,95.4315341483416
37,orthopyroxene,1.69,3.50532544378698,840,3,0.482123565158677,0.264988009592326,95.4315341483416,96.6532278508655
37,water,0.7,0.53,840,3,1.32075471698113,0.264988009592326,96.6532278508655,100
38,Liquid,38.67,2.21,830,3,17.4977375565611,0.268585131894484,0,44.3041262980723
38,olivine,13.68,3.3,830,3,4.14545454545455,0.268585131894484,44.3041262980723,54.8003828084387
38,Total solids,2.24,1.1,830,3,2.03636363636364,0.268585131894484,0,0
38,System,104.7,2.65,830,3,39.5094339622642,0.268585131894484,0,0
38,clinopyroxene,33.46,3.29,830,3,10.1702127659574,0.268585131894484,54.8003828084387,80.5512771400485
38,spinel,2.63,4.7741825095057,830,3,0.55087965212128,0.268585131894484,80.5512771400485,81.9460998480544
38,feldspar,13.59,2.68743929359823,830,3,5.05685841253152,0.268585131894484,81.9460998480544,94.750023387087
38,orthopyroxene,1.85,3.51518918918919,830,3,0.526287462902308,0.268585131894484,94.750023387087,96.0825788760549
38,water,0.82,0.53,830,3,1.54716981132075,0.268585131894484,96.0825788760549,100
39,Liquid,37.21,2.21,820,3,16.8371040723982,0.273381294964029,0,42.6455464424508
39,olivine,13.68,3.3,820,3,4.14545454545455,0.273381294964029,42.6455464424508,53.1452840210206
39,Total solids,2.28,1.04,820,3,2.19230769230769,0.273381294964029,0,0
39,System,104.7,2.65,820,3,39.5094339622642,0.273381294964029,0,0
39,clinopyroxene,33.46,3.29,820,3,10.1702127659574,0.273381294964029,53.1452840210206,78.9047185992775
39,spinel,2.72,4.78363970588235,820,3,0.568604695845982,0.273381294964029,78.9047185992775,80.3448984461104
39,feldspar,14.71,2.68695445275323,820,3,5.47459968475728,0.273381294964029,80.3448984461104,94.2111366130928
39,orthopyroxene,1.98,3.51494949494949,820,3,0.563308236105523,0.273381294964029,94.2111366130928,95.6379014202092
39,water,0.93,0.54,820,3,1.72222222222222,0.273381294964029,95.6379014202092,100
40,Liquid,35.82,2.2,810,3,16.2818181818182,0.279376498800959,0,41.181281924083
40,olivine,13.68,3.3,810,3,4.14545454545455,0.279376498800959,41.181281924083,51.6662984273671
40,Total solids,2.33,0.99,810,3,2.35353535353535,0.279376498800959,0,0
40,System,104.7,2.65,810,3,39.5094339622642,0.279376498800959,0,0
40,clinopyroxene,33.46,3.3,810,3,10.1393939393939,0.279376498800959,51.6662984273671,77.3116677402243
40,spinel,2.8,4.78342857142857,810,3,0.585354199020428,0.279376498800959,77.3116677402243,78.7921925824821
40,feldspar,15.78,2.67794676806084,810,3,5.89257418713616,0.279376498800959,78.7921925824821,93.6961643717021
40,orthopyroxene,2.12,3.52490566037736,810,3,0.601434535916925,0.279376498800959,93.6961643717021,95.2173608932388
40,water,1.04,0.55,810,3,1.89090909090909,0.279376498800959,95.2173608932388,100
41,Liquid,34.49,2.2,800,3,15.6772727272727,0.28537170263789,0,39.624389672996
41,olivine,13.68,3.3,800,3,4.14545454545455,0.28537170263789,39.624389672996,50.1020479454728
41,Total solids,2.38,0.94,800,3,2.53191489361702,0.28537170263789,0,0
41,System,104.7,2.65,800,3,39.5094339622642,0.28537170263789,0,0
41,clinopyroxene,33.46,3.3,800,3,10.1393939393939,0.28537170263789,50.1020479454728,75.7294197142647
41,spinel,2.87,4.79292682926829,800,3,0.598799043305684,0.28537170263789,75.7294197142647,77.2428874608891
41,feldspar,16.82,2.67752675386445,800,3,6.28191668887113,0.28537170263789,77.2428874608891,93.120465092112
41,orthopyroxene,2.23,3.53430493273543,800,3,0.630958573875531,0.28537170263789,93.120465092112,94.7152162222157
41,water,1.15,0.55,800,3,2.09090909090909,0.28537170263789,94.7152162222157,100
42,Liquid,33.21,2.2,790,3,15.0954545454545,0.29136690647482,0,38.1676019902292
42,olivine,13.68,3.31,790,3,4.13293051359517,0.29136690647482,38.1676019902292,48.6173732389971
42,Total solids,2.43,0.91,790,3,2.67032967032967,0.29136690647482,0,0
42,System,104.7,2.65,790,3,39.5094339622642,0.29136690647482,0,0
42,clinopyroxene,33.46,3.3,790,3,10.1393939393939,0.29136690647482,48.6173732389971,74.2539879653459
42,spinel,2.94,4.79309523809524,790,3,0.613382345636084,0.29136690647482,74.2539879653459,75.804874238136
42,feldspar,17.83,2.67716769489624,790,3,6.66002358910544,0.29136690647482,75.804874238136,92.6441902606572
42,orthopyroxene,2.33,3.53429184549356,790,3,0.6592551214951,0.29136690647482,92.6441902606572,94.3110620339767
42,water,1.26,0.56,790,3,2.25,0.29136690647482,94.3110620339767,100
43,Liquid,31.98,2.2,780,3,14.5363636363636,0.298561151079137,0,36.7515022546265
43,olivine,13.68,3.31,780,3,4.13293051359517,0.298561151079137,36.7515022546265,47.2005670199466
43,Total solids,2.49,0.89,780,3,2.79775280898876,0.298561151079137,0,0
43,System,104.7,2.65,780,3,39.5094339622642,0.298561151079137,0,0
43,clinopyroxene,33.46,3.3,780,3,10.1393939393939,0.298561151079137,47.2005670199466,72.8354485175452
43,spinel,2.96,4.80081081081081,780,3,0.616562517592749,0.298561151079137,72.8354485175452,74.3942701955296
43,feldspar,18.7,2.67764705882353,780,3,6.98374340949033,0.298561151079137,74.3942701955296,92.0508910726765
43,orthopyroxene,2.33,3.54,780,3,0.65819209039548,0.298561151079137,92.0508910726765,93.7149625488217
43,water,1.36,0.56,780,3,2.42857142857143,0.298561151079137,93.7149625488217,99.8549883878418
43,garnet,0.23,4.01,780,3,0.057356608478803,0.298561151079137,99.8549883878418,100
44,Liquid,30.79,2.21,770,3,13.9321266968326,0.306954436450839,0,35.2879216517449
44,olivine,13.68,3.31,770,3,4.13293051359517,0.306954436450839,35.2879216517449,45.7559952868353
44,Total solids,2.56,0.87,770,3,2.94252873563218,0.306954436450839,0,0
44,System,104.7,2.65,770,3,39.5094339622642,0.306954436450839,0,0
44,clinopyroxene,33.46,3.3,770,3,10.1393939393939,0.306954436450839,45.7559952868353,71.4375115919414
44,spinel,2.98,4.80087248322148,770,3,0.620720506619323,0.306954436450839,71.4375115919414,73.009700611023
44,feldspar,19.57,2.6773326520184,770,3,7.30951381228123,0.306954436450839,73.009700611023,91.5235683307854
44,orthopyroxene,2.33,3.54,770,3,0.65819209039548,0.306954436450839,91.5235683307854,93.1906670747951
44,water,1.47,0.57,770,3,2.57894736842105,0.306954436450839,93.1906670747951,99.7227418011544
44,garnet,0.44,4.01954545454545,770,3,0.109465113649214,0.306954436450839,99.7227418011544,100
45,Liquid,29.64,2.21,760,3,13.4117647058824,0.315347721822542,0,33.9739670153979
45,olivine,13.68,3.31,760,3,4.13293051359517,0.315347721822542,33.9739670153979,44.4432861560946
45,Total solids,2.63,0.85,760,3,3.09411764705882,0.315347721822542,0,0
45,System,104.7,2.65,760,3,39.5094339622642,0.315347721822542,0,0
45,clinopyroxene,33.46,3.3,760,3,10.1393939393939,0.315347721822542,44.4432861560946,70.1278580828605
